iter	Logloss
0	0.6887410555
1	0.685198449
2	0.6815372747
3	0.6766090065
4	0.6739695234
5	0.6693977457
6	0.6657737586
7	0.6625455482
8	0.6582109373
9	0.6544781052
10	0.651340727
11	0.6473690387
12	0.6446825334
13	0.6415041209
14	0.6377175664
15	0.6340128051
16	0.6317537947
17	0.6290108199
18	0.6258466698
19	0.6219447288
20	0.619412923
21	0.6156681465
22	0.6124290118
23	0.6096337491
24	0.6069751712
25	0.6028110809
26	0.5996141321
27	0.5972278142
28	0.5944751972
29	0.5922023543
30	0.5897873537
31	0.587631542
32	0.5843804613
33	0.5824670362
34	0.5796342756
35	0.5774891166
36	0.5748773275
37	0.5722239517
38	0.5700226342
39	0.5672416698
40	0.5635133785
41	0.5607861565
42	0.5584439217
43	0.555364517
44	0.5533016692
45	0.5500629405
46	0.5480191451
47	0.5452922439
48	0.542575322
49	0.5402595129
50	0.5370825597
51	0.5344276826
52	0.5318898075
53	0.5291721616
54	0.5259764643
55	0.5236595006
56	0.5210091821
57	0.5184560235
58	0.5170556794
59	0.5151980461
60	0.5126147629
61	0.5103789977
62	0.5079483812
63	0.505315076
64	0.502754304
65	0.5005169149
66	0.4978171838
67	0.495539179
68	0.4939156845
69	0.4917644736
70	0.4896836194
71	0.4867519635
72	0.4846694792
73	0.4825798837
74	0.4808137669
75	0.4786672335
76	0.4763316518
77	0.4731903136
78	0.4709435416
79	0.4692700983
80	0.4679699445
81	0.4657521674
82	0.4633179503
83	0.4614413642
84	0.4580868673
85	0.4560937799
86	0.4541693779
87	0.4516754675
88	0.4498358053
89	0.4475485367
90	0.4448884168
91	0.4435620321
92	0.4412496429
93	0.4390535235
94	0.4364667341
95	0.4349543845
96	0.4338978615
97	0.43259516
98	0.430131322
99	0.4278630896
100	0.4257972686
101	0.4234479243
102	0.4226042372
103	0.420263527
104	0.4185250018
105	0.4172251058
106	0.4155995488
107	0.4139017002
108	0.4121133109
109	0.4104706832
110	0.408326112
111	0.4065663203
112	0.4040189739
113	0.4015187649
114	0.3997530818
115	0.3977432048
116	0.395615056
117	0.3942971166
118	0.3922794916
119	0.39048992
120	0.3894992999
121	0.3878159026
122	0.3863148342
123	0.3848182609
124	0.3832992981
125	0.3827111055
126	0.3812908216
127	0.379745366
128	0.3781148028
129	0.3767308315
130	0.3758089205
131	0.3749112614
132	0.3728983372
133	0.3712906537
134	0.3697175586
135	0.3679453017
136	0.3668039046
137	0.3651661257
138	0.3640165154
139	0.3626396437
140	0.3610616972
141	0.3601342666
142	0.3589816916
143	0.3575989294
144	0.3568026557
145	0.355543162
146	0.3535340347
147	0.3523859006
148	0.350672935
149	0.3487024804
150	0.3476969445
151	0.3468621151
152	0.3458920989
153	0.3448309042
154	0.3437389549
155	0.3421840064
156	0.3406275304
157	0.3393474549
158	0.3377318609
159	0.336281996
160	0.3349238398
161	0.3337638718
162	0.3326783196
163	0.3316401021
164	0.3302705751
165	0.3293426621
166	0.3274364885
167	0.3257463115
168	0.3243789778
169	0.3225962188
170	0.3215419783
171	0.3207532354
